FILM, POSTING, CRITIC, AUDIENCE, GENRE 
A Very Demi Holiday Special, Streaming Dec 8| 2023, --, 77%, variety
Mariah Carey's Magical Christmas Special, Streaming Dec 4| 2020, 86%, 80%, variety
Jack Whitehall: Christmas with my Father, Streaming Dec 12| 2019, --, 18%, variety
The Kacey Musgraves Christmas Show, Streaming Nov 29| 2019, 67%, 100%, variety
Harmonious Live!, Streaming Jun 21| 2022, --, --, variety
Celebremos: Eterna Navidad, Streaming Dec 4| 2020, --, --, variety
Civil War, Streaming May 24| 2024, 81%, 71%, war
Irena's Vow, Streaming May 14| 2024, 86%, 88%, war
The Zone of Interest, Streaming Feb 20| 2024, 93%, 78%, war
Napoleon, Streaming Jan 9| 2024, 57%, 59%, war
Kingdom of Heaven, Streaming Sep 18| 2012, 40%, 72%, war
Kiss the Future, Streaming May 7| 2024, 100%, 97%, war
Guy Ritchie's The Covenant, Streaming May 9| 2023, 83%, 98%, war
Operation Mincemeat, Streaming May 11| 2022, 83%, 66%, war
3 Days in Malay, Streaming Aug 11| 2023, --, 85%, war
Apocalypse Now, Streaming Sep 29| 2013, 97%, 94%, war
The Power of the Dog, Streaming Dec 1| 2021, 94%, 76%, western
The Hateful Eight, Streaming Mar 2| 2017, 75%, 77%, western
Hell or High Water, Streaming Nov 8| 2016, 97%, 88%, western
Among the Willows, Streaming May 14| 2024, --, --, western
Butcher's Crossing, Streaming Nov 7| 2023, 74%, 47%, western
Bone Tomahawk, Streaming Mar 11| 2017, 91%, 74%, western
The Harder They Fall, Streaming Nov 3| 2021, 88%, 93%, western
The Revenant, Streaming Mar 22| 2016, 78%, 84%, western
The Ballad of Buster Scruggs, Streaming Nov 16| 2018, 89%, 78%, western
Once Upon a Time in the West, Streaming Jun 6| 2014, 96%, 94%, western
