FILM, POSTING, CRITIC, AUDIENCE, GENRE
BlackBerry, Streaming Jun 2; 2023, 98%, 94%, history
The Boys in the Boat, Streaming Jan 16; 2024, 58%, 97%, history
The Promised Land, Streaming Feb 23; 2024, 96%, 94%, history
The Last Duel, Streaming Nov 30; 2021, 85%, 81%, history
Titanic, Streaming Jun 1; 2014, 88%, 69%, history
The Holdovers, Streaming Nov 28; 2023, 97%, 92%, holiday
Thanksgiving, Streaming Dec 19; 2023, 84%, 80%, holiday
A Haunting in Venice, Streaming Oct 31; 2023, 76%, 77%, holiday
Scream VI, Streaming Apr 25; 2023, 76%, 91%, holiday
Jaws, Streaming Jul 22; 2015, 97%, 90%, holiday
Terrifier, Streaming Mar 27; 2018, 55%, 53%, holiday
Scent of a Woman, Streaming May 7; 2015, 85%, 92%, holiday
Halloween, Streaming Mar 18; 2017, 96%, 89%, holiday
Halloween Ends, Streaming Oct 14; 2022, 40%, 57%, holiday
Haunt, Streaming Sep 13; 2019, 70%, 100%, holiday
Late Night with the Devil, Streaming Apr 19; 2024, 97%, 81%, horror
Alien, Streaming Nov 2; 2014, 93%, 94%, horror
Immaculate, Streaming Apr 16; 2024, 71%, 60%, horror
Rust Creek, Streaming Jan 6; 2019, 86%, 61%, horror
Infested, Streaming Apr 26; 2024, 95%, 87%, horror
Men, Streaming Aug 9; 2022, 69%, 39%, horror
Dream Scenario, Streaming Dec 22; 2023, 91%, 68%, horror
Talk to Me, Streaming Sep 12; 2023, 95%, 82%, horror
You'll Never Find Me, Streaming Mar 22; 2024, 79%, 69%, horror
X, Streaming Apr 14; 2022, 94%, 75%, horror
Bob Marley: One Love, Streaming Mar 19; 2024, 43%, 92%, music
Priscilla, Streaming Dec 15; 2023, 84%, 63%, music
Whiplash, Streaming Sep 8; 2016, 94%, 94%, music
Hip-Hop and The White House, Streaming Apr 22; 2024, --, --, music
Elvis, Streaming Aug 9; 2022, 77%, 94%, music
Maestro, Streaming Dec 20; 2023, 79%, 57%, music
Yesterday, Streaming Sep 10; 2019, 63%, 89%, music
Coco, Streaming Feb 13; 2018, 97%, 94%, music
Almost Famous, Streaming Aug 1; 2013, 91%, 92%, music
Amy, Streaming Jul 27; 2016, 96%, 87%, music
Wish, Streaming Jan 23; 2024, 48%, 81%, musical
Música, Streaming Apr 4; 2024, 98%, 87%, musical
Wonka, Streaming Jan 30; 2024, 82%, 91%, musical
The Greatest Hits, Streaming Apr 12; 2024, 49%, 70%, musical
Mean Girls, Streaming Feb 20; 2024, 70%, 62%, musical
La La Land, Streaming Apr 11; 2017, 91%, 81%, musical
This Is Me... Now: A Love Story, Streaming Feb 16; 2024, 75%, 75%, musical
The Greatest Showman, Streaming Dec 22; 2017, 57%, 86%, musical
The Little Mermaid, Streaming Jul 25; 2023, 67%, 94%, musical
The Color Purple, Streaming Jan 16; 2024, 81%, 95%, musical
Tiger, Streaming Apr 22; 2024, --, --, nature
Tigers on the Rise, Streaming Apr 22; 2024, --, --, nature
Polar Bear, Streaming Apr 22; 2022, 74%, 67%, nature
Wild Life, Streaming May 26; 2023, 91%, 72%, nature
After Antarctica, Streaming Apr 2; 2024, --, --, nature
Fin, Streaming Jul 13; 2021, 82%, 89%, nature
Kangaroo Valley, Streaming Dec 14; 2022, 100%, 96%, nature
The Year Earth Changed, Streaming Apr 16; 2021, 100%, 97%, nature
Breaking Boundaries: The Science Of Our Planet, Streaming Jun 4; 2021, 58%, 74%, nature
The Last Dolphin King, Streaming Nov 25; 2022, --, 60%, nature
Taking On Taylor Swift, Streaming Oct 20; 2023, --, 11%, news
January 6th, Streaming Jan 5; 2023, 100%, 53%, news
King Charles: The Boy Who Walked Alone, Streaming May 2; 2023, --, 33%, news
Meet Me in Paris, Streaming Feb 10; 2023, --, 88%, reality
Dinner Party Diaries with José Andrés, Streaming Mar 19; 2024, --, --, reality
Snoop & Martha's Very Tasty Halloween, Streaming Oct 21; 2021, --, 33%, reality
Anyone But You, Streaming Feb 20; 2024, 56%, 87%, romance
Poor Things, Streaming Feb 27; 2024, 92%, 79%, romance
All of Us Strangers, Streaming Feb 22; 2024, 96%, 91%, romance
Música, Streaming Apr 4; 2024, 98%, 87%, romance
365 Days, Streaming Jun 7; 2020, 0%, 31%, romance
Past Lives, Streaming Aug 22; 2023, 95%, 84%, romance
The Greatest Hits, Streaming Apr 12; 2024, 49%, 70%, romance
No Hard Feelings, Streaming Aug 15; 2023, 70%, 87%, romance
I'll See You in My Dreams, Streaming Apr 2; 2016, 93%, 68%, romance
Coup de Chance, Streaming Apr 12; 2024, 81%, 81%, romance
The Wonderful Story of Henry Sugar, Streaming Sep 27; 2023, 95%, 81%, short
Strange Way of Life, Streaming Feb 13; 2024, 76%, 55%, short
The Elephant Whisperers, Streaming Dec 8; 2022, 100%, 90%, short
Bao, Streaming Dec 11; 2018, 89%, 81%, short
Le Pupille, Streaming Dec 16; 2022, 92%, 70%, short
Auntie Edna, Streaming Mar 25; 2021, --, 78%, short
Riley's First Date?, Streaming Mar 25; 2021, --, 85%, short
22 vs. Earth, Streaming Apr 30; 2021, --, 56%, short
38 at the Garden, Streaming Oct 11; 2022, --, 79%, short
A Recipe for Seduction, Streaming Dec 13; 2020, 73%, 59%, short
The Iron Claw, Streaming Feb 13; 2024, 89%, 94%, sports
The Beautiful Game, Streaming Mar 29; 2024, 83%, 67%, sports
The Boys in the Boat, Streaming Jan 16; 2024, 58%, 97%, sports
Next Goal Wins, Streaming Jan 16; 2024, 45%, 84%, sports
Air, Streaming May 12; 2023, 93%, 98%, sports
Lady Ballers, Streaming Dec 1; 2023, 43%, 89%, sports
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World, Streaming May 16; 2023, 42%, 96%, sports
The Swimmers, Streaming Nov 23; 2022, 83%, 86%, sports
The Underdoggs, Streaming Jan 26; 2024, 41%, 58%, sports
The Deepest Breath, Streaming Jul 19; 2023, 85%, 93%, sports
The Most Remote Restaurant in the World, Streaming Oct 31; 2023, --, --, travel
Black Travel Across America, Streaming Feb 7; 2023, --, --, travel
A Very Murray Christmas, Streaming Dec 4; 2015, 68%, 38%, variety
Dolly Parton's Pet Gala, Streaming Feb 21; 2024, --, --, variety
2023: Back That Year Up, Streaming Dec 26; 2023, --, 60%, variety
A Whole Lifetime with Jamie Demetriou, Streaming Feb 28; 2023, 67%, 89%, variety
The Kacey Musgraves Christmas Show, Streaming Nov 29; 2019, 67%, 100%, variety
Harmonious Live!, Streaming Jun 21; 2022, --, --, variety
A Very Demi Holiday Special, Streaming Dec 8; 2023, --, 77%, variety
Celebremos: Eterna Navidad, Streaming Dec 4; 2020, --, --, variety
Huluween Dragstravaganza, Streaming Oct 1; 2022, --, 71%, variety
Jack Whitehall: Christmas with my Father, Streaming Dec 12; 2019, --, 18%, variety
The Zone of Interest, Streaming Feb 20; 2024, 93%, 78%, war
Napoleon, Streaming Jan 9; 2024, 57%, 59%, war
Kingdom of Heaven, Streaming Sep 18; 2012, 40%, 72%, war
Guy Ritchie's The Covenant, Streaming May 9; 2023, 83%, 98%, war
Megan Leavey, Streaming Jul 10; 2017, 86%, 82%, war
Sisu, Streaming May 16; 2023, 94%, 88%, war
Apocalypse Now, Streaming Sep 29; 2013, 97%, 94%, war
All Quiet on the Western Front, Streaming Oct 28; 2022, 90%, 90%, war
Hacksaw Ridge, Streaming Feb 7; 2017, 84%, 91%, war
Dunkirk, Streaming Dec 12; 2017, 92%, 81%, war
